Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-02-08,176.0,176.0,168.0,176.0,51555600,0,0
2023-02-09,193.0,193.0,176.0,193.0,27267300,0,0
2023-02-10,200.0,212.0,195.0,212.0,11543800,0,0
2023-02-13,232.0,232.0,232.0,232.0,8153100,0,0
2023-02-14,254.0,254.0,210.0,230.0,36888100,0,0
2023-02-15,250.0,250.0,232.0,238.0,8720800,0,0
2023-02-16,240.0,260.0,240.0,260.0,6696400,0,0
2023-02-17,272.0,286.0,268.0,286.0,2287100,0,0
2023-02-20,300.0,314.0,262.0,314.0,16783600,0,0
2023-02-21,332.0,344.0,332.0,344.0,10377700,0,0
2023-02-22,364.0,378.0,364.0,378.0,2090300,0,0
2023-02-23,412.0,414.0,342.0,366.0,17025100,0,0
2023-02-24,366.0,402.0,366.0,402.0,9457100,0,0
2023-02-27,440.0,442.0,420.0,442.0,2572500,0,0
2023-02-28,486.0,486.0,486.0,486.0,145400,0,0
2023-03-01,530.0,530.0,530.0,530.0,606400,0,0
2023-03-02,580.0,580.0,580.0,580.0,613900,0,0
2023-03-03,635.0,635.0,580.0,620.0,6418400,0,0
2023-03-06,665.0,665.0,560.0,615.0,7031300,0,0
2023-03-07,615.0,675.0,615.0,675.0,6261900,0,0
2023-03-08,700.0,740.0,685.0,740.0,2387100,0,0
2023-03-09,785.0,810.0,785.0,810.0,435200,0,0
2023-03-10,890.0,890.0,890.0,890.0,582400,0,0
2023-03-13,945.0,975.0,945.0,975.0,2894900,0,0
2023-03-14,1070.0,1070.0,885.0,965.0,13794600,0,0
2023-03-15,965.0,1025.0,965.0,1025.0,4000500,0,0
2023-03-16,1025.0,1025.0,1025.0,1025.0,0,0,0
2023-03-17,1025.0,1035.0,925.0,950.0,6298400,0,0
2023-03-20,950.0,1010.0,925.0,1000.0,3092500,0,0
2023-03-21,1010.0,1100.0,1000.0,1100.0,1491200,0,0
2023-03-24,1210.0,1210.0,1160.0,1210.0,1949600,0,0
