Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-12-06,378.0,400.0,336.0,336.0,67770500,0,0
2021-12-07,330.0,330.0,314.0,328.0,29151600,0,0
2021-12-08,320.0,328.0,306.0,306.0,16977800,0,0
2021-12-09,306.0,308.0,286.0,286.0,13694100,0,0
2021-12-10,268.0,282.0,266.0,274.0,23629700,0,0
2021-12-13,274.0,280.0,260.0,264.0,3400100,0,0
2021-12-14,264.0,270.0,258.0,264.0,9640800,0,0
2021-12-15,264.0,270.0,252.0,252.0,5940000,0,0
2021-12-16,254.0,258.0,236.0,236.0,6303400,0,0
2021-12-17,220.0,238.0,220.0,222.0,11573700,0,0
2021-12-20,220.0,234.0,212.0,218.0,9336100,0,0
2021-12-21,218.0,224.0,216.0,218.0,4482400,0,0
2021-12-22,216.0,222.0,212.0,218.0,683400,0,0
2021-12-23,218.0,218.0,212.0,214.0,4642500,0,0
2021-12-24,214.0,216.0,208.0,212.0,8036500,0,0
2021-12-27,212.0,216.0,202.0,208.0,4866300,0,0
2021-12-28,210.0,210.0,198.0,198.0,3249200,0,0
2021-12-29,198.0,200.0,186.0,186.0,6585900,0,0
2021-12-30,186.0,190.0,177.0,178.0,1594400,0,0
2022-01-03,177.0,178.0,167.0,178.0,2871700,0,0
2022-01-04,178.0,222.0,178.0,200.0,9744000,0,0
2022-01-05,206.0,214.0,196.0,200.0,2035000,0,0
2022-01-06,200.0,200.0,188.0,198.0,998500,0,0
2022-01-07,199.0,208.0,196.0,206.0,2273500,0,0
2022-01-10,208.0,210.0,206.0,208.0,1169700,0,0
2022-01-11,210.0,222.0,200.0,220.0,4080100,0,0
2022-01-12,224.0,264.0,224.0,260.0,46065400,0,0
2022-01-13,262.0,264.0,242.0,242.0,15027700,0,0
2022-01-14,244.0,244.0,226.0,228.0,3765500,0,0
2022-01-17,230.0,240.0,228.0,232.0,3389200,0,0
2022-01-18,234.0,244.0,228.0,234.0,3582700,0,0
2022-01-19,234.0,234.0,222.0,228.0,2244100,0,0
2022-01-20,230.0,230.0,220.0,230.0,1263900,0,0
2022-01-21,230.0,238.0,228.0,234.0,4496000,0,0
2022-01-24,234.0,234.0,228.0,230.0,692700,0,0
