Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-01-25,94.0,95.0,92.0,94.0,10191000,0,0
2013-01-28,97.0,97.0,91.0,97.0,24825000,0,0
2013-01-29,98.0,98.0,96.0,98.0,16139000,0,0
2013-01-30,100.0,100.0,96.0,100.0,14001000,0,0
2013-01-31,105.0,106.0,98.0,105.0,29814000,0,0
2013-02-01,109.0,110.0,106.0,109.0,28197500,0,0
2013-02-04,109.0,109.0,105.0,109.0,16661500,0,0
2013-02-05,111.0,112.0,105.0,111.0,42476500,0,0
2013-02-06,113.0,113.0,107.0,113.0,20415000,0,0
2013-02-07,113.0,115.0,111.0,113.0,34183000,0,0
2013-02-08,115.0,115.0,110.0,115.0,15606500,0,0
2013-02-11,113.0,114.0,111.0,113.0,8779500,0,0
2013-02-12,114.0,115.0,110.0,114.0,21155500,0,0
2013-02-13,114.0,114.0,112.0,114.0,6184000,0,0
2013-02-14,117.0,117.0,110.0,117.0,35893500,0,0
2013-02-15,117.0,117.0,115.0,117.0,20055000,0,0
2013-02-18,118.0,118.0,115.0,118.0,42549500,0,0
2013-02-19,120.0,120.0,116.0,120.0,23093000,0,0
2013-02-20,124.0,124.0,120.0,124.0,31360500,0,0
2013-02-21,125.0,126.0,124.0,125.0,17692500,0,0
2013-02-22,126.0,128.0,125.0,126.0,11631000,0,0
2013-02-25,127.0,128.0,126.0,127.0,5386000,0,0
2013-02-26,126.0,128.0,123.0,126.0,15633000,0,0
2013-02-27,127.0,128.0,126.0,127.0,6509500,0,0
2013-02-28,127.0,128.0,125.0,127.0,6494500,0,0
2013-03-01,128.0,129.0,126.0,128.0,15336500,0,0
2013-03-04,126.0,128.0,125.0,126.0,7096000,0,0
2013-03-05,126.0,128.0,124.0,126.0,4401500,0,0
2013-03-06,125.0,126.0,124.0,125.0,5532500,0,0
2013-03-07,126.0,127.0,124.0,126.0,13546500,0,0
2013-03-08,125.0,126.0,124.0,125.0,6285500,0,0
2013-03-11,128.0,128.0,121.0,128.0,25532000,0,0
2013-03-13,132.0,133.0,128.0,132.0,36060000,0,0
2013-03-14,132.0,135.0,131.0,132.0,20884000,0,0
2013-03-15,129.0,132.0,128.0,129.0,10344000,0,0
2013-03-18,133.0,133.0,126.0,133.0,6459500,0,0
2013-03-19,131.0,133.0,130.0,131.0,7467500,0,0
2013-03-20,132.0,132.0,129.0,132.0,3416500,0,0
2013-03-21,129.0,130.0,129.0,129.0,2016500,0,0
2013-03-22,130.0,131.0,127.0,130.0,2160000,0,0
2013-03-25,129.0,130.0,128.0,129.0,828500,0,0
2013-03-26,130.0,131.0,121.0,130.0,14662000,0,0
2013-03-27,141.0,141.0,129.0,141.0,28273500,0,0
2013-03-28,142.0,145.0,139.0,142.0,10472000,0,0
2013-04-01,140.0,145.0,131.0,140.0,7338500,0,0
2013-04-02,140.0,142.0,130.0,140.0,5361500,0,0
2013-04-03,141.0,141.0,139.0,141.0,2,0,0
2013-04-04,142.0,142.0,139.0,142.0,4012000,0,0
2013-04-05,141.0,142.0,139.0,141.0,1051500,0,0
2013-04-08,145.0,145.0,139.0,145.0,8607000,0,0
2013-04-09,144.0,145.0,141.0,144.0,3497500,0,0
