Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-12-22,165.0,187.0,160.0,187.0,6973200,0,0
2014-12-23,252.0,252.0,206.0,210.0,26042900,0,0
2014-12-24,210.0,232.0,185.0,185.0,21795000,0,0
2014-12-29,184.0,184.0,163.0,165.0,3926500,0,0
2014-12-30,165.0,165.0,139.0,143.0,76774800,0,0
2015-01-02,143.0,154.0,130.0,143.0,2544100,0,0
2015-01-05,150.0,154.0,144.0,147.0,1309000,0,0
2015-01-06,146.0,149.0,142.0,142.0,355700,0,0
2015-01-07,146.0,151.0,145.0,146.0,787000,0,0
2015-01-08,147.0,147.0,142.0,146.0,69866100,0,0
2015-01-09,147.0,147.0,142.0,144.0,5058900,0,0
2015-01-12,144.0,145.0,135.0,140.0,420400,0,0
2015-01-13,142.0,146.0,140.0,143.0,406100,0,0
2015-01-14,142.0,150.0,142.0,148.0,7173900,0,0
2015-01-15,146.0,160.0,145.0,146.0,15329800,0,0
2015-01-16,144.0,150.0,144.0,144.0,94100,0,0
2015-01-19,144.0,147.0,144.0,145.0,48100,0,0
2015-01-20,146.0,146.0,138.0,140.0,318600,0,0
2015-01-21,140.0,140.0,130.0,139.0,30509800,0,0
2015-01-22,140.0,141.0,130.0,130.0,392600,0,0
2015-01-23,130.0,132.0,125.0,130.0,568200,0,0
2015-01-26,132.0,133.0,125.0,129.0,318800,0,0
2015-01-27,125.0,133.0,124.0,133.0,239400,0,0
2015-01-28,135.0,135.0,127.0,133.0,121800,0,0
2015-01-29,133.0,134.0,128.0,133.0,107300,0,0
2015-01-30,128.0,136.0,128.0,133.0,15332700,0,0
2015-02-02,134.0,134.0,126.0,131.0,25020000,0,0
2015-02-03,128.0,133.0,128.0,133.0,5012000,0,0
2015-02-04,130.0,132.0,129.0,132.0,233300,0,0
2015-02-05,128.0,131.0,128.0,128.0,23300,0,0
2015-02-06,132.0,134.0,127.0,129.0,37300,0,0
2015-02-09,130.0,132.0,127.0,130.0,263200,0,0
2015-02-10,131.0,131.0,130.0,131.0,2782800,0,0
2015-02-11,131.0,131.0,129.0,130.0,249100,0,0
2015-02-12,132.0,137.0,126.0,133.0,886500,0,0
2015-02-13,135.0,136.0,131.0,133.0,58600,0,0
2015-02-16,136.0,145.0,132.0,135.0,2816600,0,0
2015-02-17,136.0,136.0,130.0,135.0,5600600,0,0
2015-02-18,135.0,136.0,133.0,135.0,292700,0,0
2015-02-20,134.0,136.0,134.0,136.0,88300,0,0
2015-02-23,136.0,145.0,136.0,140.0,1547600,0,0
2015-02-24,139.0,139.0,130.0,133.0,13900,0,0
2015-02-25,136.0,140.0,135.0,139.0,12289400,0,0
2015-02-26,139.0,139.0,135.0,139.0,5400,0,0
2015-02-27,139.0,142.0,135.0,135.0,2100,0,0
2015-03-02,135.0,139.0,127.0,135.0,115500,0,0
2015-03-03,136.0,138.0,135.0,136.0,10651100,0,0
2015-03-04,137.0,142.0,136.0,142.0,349400,0,0
2015-03-05,139.0,145.0,136.0,139.0,10915500,0,0
2015-03-06,140.0,145.0,135.0,135.0,44400,0,0
2015-03-09,139.0,145.0,135.0,139.0,22125600,0,0
2015-03-10,139.0,139.0,130.0,135.0,5198300,0,0
2015-03-11,139.0,144.0,139.0,140.0,11300,0,0
2015-03-12,140.0,153.0,140.0,153.0,11339300,0,0
2015-03-13,154.0,179.0,154.0,162.0,610000,0,0
2015-03-16,177.0,177.0,152.0,152.0,17769700,0,0
2015-03-17,152.0,159.0,152.0,159.0,121100,0,0
2015-03-18,159.0,159.0,158.0,158.0,200,0,0
2015-03-19,158.0,160.0,143.0,159.0,44500,0,0
2015-03-20,159.0,165.0,152.0,160.0,48900,0,0
2015-03-23,154.0,157.0,153.0,156.0,18005700,0,0
2015-03-24,156.0,159.0,152.0,158.0,17868200,0,0
2015-03-25,160.0,161.0,153.0,157.0,60300,0,0
2015-03-26,153.0,155.0,153.0,154.0,20053100,0,0
2015-03-27,157.0,157.0,140.0,140.0,10900,0,0
2015-03-30,140.0,148.0,140.0,148.0,26900,0,0
2015-03-31,148.0,148.0,148.0,148.0,100,0,0
2015-04-01,148.0,150.0,145.0,145.0,12200,0,0
2015-04-02,148.0,156.0,140.0,151.0,12070700,0,0
2015-04-06,150.0,150.0,143.0,144.0,8431000,0,0
2015-04-07,149.0,149.0,143.0,144.0,30019400,0,0
2015-04-08,144.0,144.0,142.0,144.0,30022000,0,0
2015-04-09,143.0,154.0,143.0,153.0,40086700,0,0
2015-04-10,153.0,153.0,147.0,150.0,30234600,0,0
2015-04-13,154.0,159.0,150.0,154.0,30049200,0,0
2015-04-14,154.0,156.0,144.0,153.0,20237500,0,0
2015-04-15,154.0,158.0,145.0,146.0,124700,0,0
2015-04-16,153.0,153.0,153.0,153.0,100,0,0
2015-04-17,142.0,152.0,126.0,142.0,40105300,0,0
2015-04-20,142.0,150.0,140.0,148.0,39059100,0,0
2015-04-21,141.0,147.0,135.0,144.0,21100800,0,0
2015-04-22,144.0,147.0,140.0,141.0,39513200,0,0
2015-04-23,140.0,145.0,140.0,140.0,19118400,0,0
2015-04-24,144.0,145.0,140.0,145.0,14700,0,0
2015-04-27,126.0,145.0,126.0,133.0,50027100,0,0
