Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-06,254.0,256.0,230.0,256.0,141452200,0,0
2022-12-07,284.0,316.0,240.0,240.0,156921400,0,0
2022-12-08,224.0,224.0,224.0,224.0,8425300,0,0
2022-12-09,210.0,248.0,210.0,236.0,155091700,0,0
2022-12-12,238.0,250.0,236.0,242.0,31229800,0,0
2022-12-13,248.0,248.0,230.0,238.0,20774500,0,0
2022-12-14,238.0,258.0,236.0,256.0,59767800,0,0
2022-12-15,256.0,282.0,252.0,258.0,177380000,0,0
2022-12-16,258.0,272.0,258.0,270.0,33162000,0,0
2022-12-19,272.0,286.0,268.0,284.0,41114300,0,0
2022-12-20,286.0,304.0,278.0,296.0,50593900,0,0
2022-12-21,298.0,310.0,288.0,302.0,30187900,0,0
2022-12-22,302.0,322.0,302.0,322.0,45556200,0,0
2022-12-23,302.0,374.0,302.0,364.0,72028900,0,0
2022-12-26,380.0,380.0,340.0,340.0,21274300,0,0
2022-12-27,322.0,358.0,318.0,330.0,50410800,0,0
2022-12-28,332.0,346.0,318.0,336.0,37706600,0,0
2022-12-29,336.0,358.0,332.0,356.0,34144100,0,0
2022-12-30,352.0,386.0,352.0,364.0,47132200,0,0
2023-01-02,370.0,374.0,340.0,340.0,25419200,0,0
2023-01-03,336.0,342.0,318.0,328.0,29168400,0,0
2023-01-04,328.0,342.0,324.0,342.0,16835400,0,0
2023-01-05,346.0,348.0,320.0,324.0,24592700,0,0
2023-01-06,326.0,334.0,310.0,318.0,21839700,0,0
2023-01-09,318.0,326.0,296.0,320.0,31391100,0,0
2023-01-10,324.0,330.0,316.0,326.0,14838800,0,0
2023-01-11,326.0,346.0,324.0,340.0,32209200,0,0
2023-01-12,342.0,354.0,338.0,352.0,28216600,0,0
2023-01-13,352.0,364.0,348.0,364.0,29718300,0,0
2023-01-16,364.0,370.0,358.0,358.0,21851900,0,0
2023-01-17,388.0,388.0,348.0,352.0,28987900,0,0
2023-01-18,350.0,358.0,328.0,358.0,28185000,0,0
2023-01-19,360.0,386.0,358.0,384.0,25327300,0,0
2023-01-20,474.0,474.0,384.0,408.0,25987600,0,0
2023-01-24,408.0,444.0,398.0,444.0,26233600,0,0
2023-01-25,530.0,530.0,444.0,474.0,40055500,0,0
2023-01-26,478.0,496.0,462.0,494.0,24517000,0,0
2023-01-27,498.0,505.0,480.0,486.0,23056200,0,0
2023-01-30,488.0,498.0,484.0,494.0,11894900,0,0
2023-01-31,494.0,575.0,486.0,550.0,24450200,0,0
2023-02-01,550.0,595.0,550.0,590.0,14855600,0,0
2023-02-02,595.0,605.0,550.0,550.0,12529700,0,0
2023-02-03,550.0,565.0,515.0,560.0,12082200,0,0
2023-02-06,565.0,590.0,555.0,560.0,8070600,0,0
2023-02-07,565.0,570.0,550.0,555.0,6448600,0,0
2023-02-08,555.0,590.0,530.0,565.0,14284100,0,0
2023-02-09,565.0,580.0,555.0,565.0,5576100,0,0
2023-02-10,570.0,575.0,540.0,560.0,6321500,0,0
2023-02-13,560.0,565.0,550.0,550.0,1667700,0,0
2023-02-14,545.0,560.0,530.0,530.0,8231500,0,0
2023-02-15,525.0,565.0,520.0,560.0,13265600,0,0
2023-02-16,580.0,620.0,560.0,600.0,38554400,0,0
2023-02-17,600.0,615.0,590.0,610.0,30289300,0,0
2023-02-20,610.0,620.0,575.0,600.0,12693700,0,0
2023-02-21,600.0,635.0,600.0,630.0,23582600,0,0
2023-02-22,635.0,640.0,620.0,625.0,9937300,0,0
2023-02-23,625.0,625.0,585.0,600.0,22897500,0,0
2023-02-24,615.0,615.0,590.0,600.0,6749700,0,0
2023-02-27,600.0,600.0,585.0,595.0,3741300,0,0
2023-02-28,590.0,605.0,580.0,600.0,13040700,0,0
2023-03-01,600.0,615.0,585.0,595.0,4204500,0,0
2023-03-02,595.0,600.0,565.0,590.0,6086100,0,0
2023-03-03,590.0,590.0,570.0,570.0,3700400,0,0
2023-03-06,570.0,595.0,550.0,580.0,5570400,0,0
2023-03-07,580.0,585.0,560.0,560.0,6366400,0,0
2023-03-08,555.0,615.0,530.0,590.0,17115200,0,0
2023-03-09,595.0,595.0,585.0,595.0,6572500,0,0
2023-03-10,595.0,605.0,590.0,600.0,5062000,0,0
2023-03-13,605.0,710.0,590.0,680.0,40646100,0,0
2023-03-14,675.0,700.0,655.0,680.0,12401600,0,0
2023-03-15,680.0,685.0,650.0,650.0,7807400,0,0
2023-03-16,645.0,685.0,645.0,645.0,7884300,0,0
2023-03-17,645.0,645.0,630.0,630.0,9569700,0,0
2023-03-20,625.0,640.0,610.0,635.0,6808900,0,0
2023-03-21,640.0,650.0,595.0,595.0,8628900,0,0
2023-03-24,590.0,595.0,555.0,555.0,8416800,0,0
