Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-29,202.0,202.0,202.0,202.0,70500,0,0
2021-03-30,252.0,252.0,252.0,252.0,3500,0,0
2021-03-31,314.0,314.0,314.0,314.0,8700,0,0
2021-04-01,392.0,392.0,316.0,340.0,14227200,0,0
2021-04-05,350.0,350.0,318.0,320.0,16505200,0,0
2021-04-06,320.0,346.0,320.0,330.0,11061700,0,0
2021-04-07,332.0,338.0,322.0,332.0,13036100,0,0
2021-04-08,332.0,344.0,332.0,336.0,12006900,0,0
2021-04-09,336.0,348.0,324.0,334.0,9611600,0,0
2021-04-12,334.0,354.0,334.0,344.0,13435700,0,0
2021-04-13,346.0,372.0,346.0,368.0,15975300,0,0
2021-04-14,368.0,442.0,368.0,440.0,23027100,0,0
2021-04-15,440.0,462.0,434.0,456.0,11857100,0,0
2021-04-16,456.0,480.0,440.0,444.0,11016300,0,0
2021-04-19,444.0,466.0,432.0,466.0,13038400,0,0
2021-04-20,464.0,464.0,450.0,460.0,11802000,0,0
2021-04-21,460.0,480.0,452.0,470.0,15533000,0,0
2021-04-22,470.0,480.0,470.0,480.0,9940200,0,0
2021-04-23,472.0,480.0,472.0,480.0,9124100,0,0
2021-04-26,480.0,540.0,480.0,510.0,21703400,0,0
2021-04-27,510.0,610.0,510.0,610.0,19494700,0,0
2021-04-28,610.0,750.0,610.0,730.0,15194800,0,0
2021-04-29,720.0,775.0,680.0,735.0,27385900,0,0
2021-04-30,740.0,855.0,735.0,835.0,5948800,0,0
2021-05-03,835.0,1000.0,805.0,825.0,22368000,0,0
2021-05-04,825.0,885.0,820.0,840.0,13078200,0,0
2021-05-05,840.0,865.0,830.0,845.0,12083600,0,0
2021-05-06,845.0,870.0,790.0,800.0,14251000,0,0
2021-05-07,800.0,830.0,780.0,790.0,14147200,0,0
2021-05-10,790.0,825.0,770.0,825.0,15161000,0,0
2021-05-11,820.0,825.0,790.0,815.0,12506900,0,0
2021-05-17,815.0,825.0,795.0,810.0,13123000,0,0
2021-05-18,825.0,850.0,795.0,810.0,11738600,0,0
2021-05-19,810.0,810.0,785.0,790.0,15457200,0,0
2021-05-20,805.0,825.0,760.0,765.0,12715000,0,0
2021-05-21,765.0,790.0,735.0,735.0,13145100,0,0
2021-05-24,735.0,760.0,730.0,740.0,13545900,0,0
2021-05-25,750.0,760.0,715.0,750.0,13817900,0,0
2021-05-27,750.0,810.0,750.0,800.0,13432600,0,0
2021-05-28,795.0,805.0,765.0,800.0,12805100,0,0
2021-05-31,800.0,925.0,800.0,925.0,15307000,0,0
2021-06-02,925.0,980.0,905.0,965.0,12452700,0,0
2021-06-03,965.0,1000.0,945.0,985.0,12261400,0,0
2021-06-04,1020.0,1020.0,960.0,975.0,11547000,0,0
2021-06-07,1025.0,1025.0,960.0,990.0,10996800,0,0
2021-06-08,1000.0,1000.0,940.0,940.0,10816400,0,0
2021-06-09,935.0,1015.0,900.0,1015.0,11566800,0,0
2021-06-10,1020.0,1125.0,1010.0,1125.0,12541300,0,0
2021-06-11,1125.0,1150.0,1055.0,1100.0,13332500,0,0
2021-06-14,1100.0,1125.0,1030.0,1100.0,13219100,0,0
2021-06-15,1095.0,1115.0,1070.0,1105.0,9915400,0,0
2021-06-16,1095.0,1145.0,1080.0,1115.0,12674900,0,0
2021-06-17,1105.0,1105.0,1040.0,1100.0,13780800,0,0
2021-06-18,1105.0,1105.0,1075.0,1085.0,9564300,0,0
2021-06-21,1085.0,1120.0,1050.0,1115.0,12447900,0,0
2021-06-22,1115.0,1275.0,1110.0,1275.0,14298300,0,0
